Date,Mood,Score,Emotion,Confidence
2026-07-13 08:56:13,Neutral,0.0,joy,0.9931
2026-07-13 08:56:13,Neutral,0.0,joy,0.9931
2026-07-13 09:17:37,Neutral,0.0,joy,0.8312
2026-07-13 09:18:24,Sad,-0.5106,sadness,0.9639
2026-07-13 09:44:21,Neutral,0.2732,joy,0.9743
2026-07-13 09:44:25,Neutral,0.2732,joy,0.9743
2026-07-13 21:24:58,Neutral,0.4939,joy,0.9798
