Date,Mood,Score,Emotion,Confidence
2026-07-13 09:08:31,Neutral,0.0,anger,0.3703
2026-07-13 09:09:13,Neutral,0.0,sadness,0.9643
2026-07-13 09:09:53,Neutral,0.0,sadness,0.9603
